id,Province,Agroecological.zones,Crop,Grp.Crop,Regime,Code_Stage,birth.day,sampling.date,Base.Feed,Second.feed.1,second.feed.1.date,second.feed..2,second.feed..2.date,Sampling.Timing.Vs.second.feed.timing,Target,Mos.,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,B1,B2,B3,B4,B5,B6,B6_VCID_1,B6_VCID_2,B7,FVC,LST,NDVI,AI,ETP_jan_mars,ETP_oct_dec,ETP_oct_mars,EVI_Diff,EVI_RUE,EVI_fev,EVI_jan,EVI_jan_mars,EVI_mars,EVI_max,EVI_min,EVI_oct_dec,EVI_oct_mars,EVIsum,FAPAR_RUE,FAPAR_jan_mars,FAPAR_oct_dec,FAPAR_oct_mars,FAPARsum,Fpar_Diff,Fpar_fev,Fpar_jan,Fpar_mars,Fpar_max,Fpar_min,LAI_Diff,LAI_fev,LAI_jan,LAI_jan_mars,LAI_mars,LAI_max,LAI_min,LAI_oct_dec,LAI_oct_mars,LAIsum,LST_DAY_jan_mars,LST_DAY_oct_dec,LST_Night_jan_mars,LST_Night_oct_dec,NDVI_Diff,NDVI_RUE,NDVI_fev,NDVI_jan,NDVI_jan_mars,NDVI_mars,NDVI_max,NDVI_min,NDVI_oct_dec,NDVI_oct_mars,NDVIsum,P_dec_fev,P_oct_mars,P_sep_nov,pH,Ec,MO,K20,P2O5
1,EL YOUSSOUFIA,défavorable,Orge,Barley,Bour,S1,15/12/2020,10/02/2021,Yes,Yes,25/01/2021,No,,After,5.11,97%,0.159,0.001,0.251,0.147,0.122,0.121,0.102,0.148,0.306,0.362,0.347,0.381,0.132,0.536,0.002,3.871,0.482,0.628,829.472,832.163,0.413,2.789,708.4,"1,147.70","1,353.55","3,973.83","3,275.20","3,328.10",332.84,333.2,"2,070.58",23.07,336.77,0.56,3.26,"2,319.67",298.2,602.25,-0.1,1.36,0.2,0.31,0.2,0.15,0.22,0.13,0.23,0.22,2.51,3.79,0.26,0.31,0.31,7,0.2,0.26,0.4,0.17,0.32,0.13,0.12,0.35,0.52,0.35,0.23,0.35,0.23,0.35,0.35,9.66,31.83,26.74,8.38,10.36,-0.18,2.24,0.32,0.48,0.32,0.24,0.36,0.18,0.4,0.36,4.14,48.08,212.35,145.85,10.2,0.4,4.1,529,155.4
2,EL YOUSSOUFIA,défavorable,Blé dur,Wheat,Bour,S1,01/12/2020,10/02/2021,No,No,,No,,No N topDress ,3.81,95%,0.17,0.002,0.264,0.173,0.123,0.118,0.113,0.164,0.32,0.374,0.352,0.399,0.119,0.51,0.002,3.528,0.449,0.592,828.348,831.18,0.397,3.258,671.43,"1,074.43","1,142.09","4,025.29","2,827.74","3,318.90",331.91,332.34,"1,810.23",20.86,335.6,0.64,3.91,"2,311.96",300.84,702.76,-0.04,0.86,0.13,0.15,0.13,0.12,0.14,0.1,0.16,0.14,1.54,2.31,0.17,0.18,0.17,4.15,0.14,0.16,0.22,0.17,0.22,0.08,0.12,0.23,0.23,0.23,0.23,0.23,0.12,0.23,0.23,5.52,34.35,30.37,10.26,12.55,-0.04,1.4,0.21,0.26,0.21,0.18,0.22,0.18,0.26,0.22,2.51,37.99,206.52,161.54,10,0.3,3,172.5,57.6
3,EL YOUSSOUFIA,défavorable,Blé tendre,Wheat,Bour,S1,20/12/2020,10/02/2021,No,No,,No,,No N topDress ,4.06,95%,0.18,0.002,0.283,0.15,0.127,0.132,0.096,0.165,0.452,0.54,0.529,0.573,0.169,1.213,0.004,4.754,0.611,0.797,829.471,832.162,0.622,3.371,515.27,850.92,737.2,"4,979.96","2,362.76","3,315.88",331.58,331.46,"1,075.43",23.07,334.75,0.85,3.37,"2,320.93",272.21,622.27,-0.04,1.61,0.17,0.21,0.17,0.13,0.17,0.13,0.37,0.21,2.98,4.44,0.23,0.44,0.37,8.2,0.14,0.23,0.39,0.17,0.29,0.15,0.12,0.35,0.46,0.35,0.23,0.35,0.23,0.81,0.46,12.08,32.34,27.01,8.82,10.59,-0.09,2.44,0.28,0.35,0.28,0.22,0.29,0.2,0.56,0.36,4.51,48.08,212.35,145.85,10,0.3,2.4,190.9,51.3
4,EL YOUSSOUFIA,défavorable,Orge,Barley,Bour,S1,15/12/2020,10/02/2021,Yes,Yes,20/01/2021,No,,After,5.3,99%,0.155,0.002,0.272,0.173,0.127,0.128,0.125,0.166,0.284,0.323,0.314,0.345,0.122,0.339,0.001,3.26,0.368,0.497,827.407,830.356,0.323,2.734,773.67,"1,282.13","1,523.14","3,802.00","3,594.94","3,332.81",333.27,333.25,"2,434.00",23.07,337.06,0.49,3.62,"2,212.48",289.23,667.57,-0.07,1.43,0.19,0.3,0.19,0.15,0.2,0.13,0.3,0.2,2.63,3.67,0.2,0.3,0.24,6.79,0.14,0.2,0.39,0.16,0.28,0.14,0.23,0.29,0.52,0.29,0.23,0.46,0.23,0.35,0.35,9.55,31.72,26.3,8.33,10.13,-0.14,2.21,0.3,0.45,0.3,0.23,0.33,0.19,0.46,0.33,4.09,48.08,212.35,145.85,10.1,0.2,2.3,361.1,57.2
6,El Jadida,interemédiaire,Orge,Barley,Bour,S1,20/11/2020,27/01/2021,No,No,,No,,No N topDress ,3.62,100%,0.149,0.001,0.159,0.061,0.106,0.099,0.046,0.101,0.411,0.559,0.526,0.591,0.118,2.088,0.003,6.43,0.798,0.966,834.889,836.903,0.722,2.844,359.95,729.59,405.49,"5,347.57","1,509.95","3,269.09",326.9,326.78,434.09,18.7,328.71,0.99,2.4,"2,120.26",234.37,583.63,-0.4,1.53,0.37,0.39,0.39,0.46,0.54,0.14,0.26,0.36,3.72,5.84,0.73,0.56,0.72,14.17,0.75,0.78,0.72,0.64,0.91,0.16,2.07,2.19,1.44,1.67,1.61,2.3,0.23,1.04,1.5,30.82,26.85,24.16,9.84,12.48,-0.53,2.79,0.7,0.74,0.72,0.69,0.8,0.27,0.5,0.68,6.78,80.18,279.22,175.48,9.8,0.3,0.9,268.1,137.8
7,EL YOUSSOUFIA,défavorable,Orge,Barley,Bour,S1,25/12/2020,10/02/2021,No,No,,No,,No N topDress ,3.57,94%,0.213,0.002,0.375,0.266,0.188,0.193,0.187,0.24,0.4,0.456,0.443,0.486,0.146,0.448,0.002,3.462,0.357,0.466,828.423,831.245,0.366,2.57,596.67,968.53,876.75,"3,681.50","2,666.18","3,313.53",331.33,331.65,"1,516.22",20.86,334.85,0.71,3.49,"2,140.38",265.31,604.79,-0.09,1.53,0.22,0.3,0.23,0.2,0.23,0.14,0.24,0.23,2.65,4.73,0.36,0.37,0.37,8.2,0.35,0.36,0.45,0.21,0.49,0.15,0.46,0.58,0.69,0.58,0.35,0.69,0.23,0.46,0.58,12.42,34.3,27.2,9.52,12.27,-0.15,2.48,0.35,0.5,0.36,0.3,0.36,0.21,0.39,0.36,4.3,42.71,199.17,145.09,10,0.1,2.8,242.7,42.9
8,EL YOUSSOUFIA,défavorable,Orge,Barley,Bour,S1,15/12/2020,10/02/2021,No,No,,No,,No N topDress ,4.65,97%,0.156,0.001,0.255,0.144,0.117,0.114,0.087,0.141,0.313,0.368,0.355,0.397,0.126,0.627,0.002,3.733,0.515,0.696,828.227,831.073,0.453,2.731,,,,,,,,,,20.86,,,3.67,"2,277.35",281.75,638.48,-0.08,1.21,0.19,0.25,0.19,0.17,0.2,0.12,0.16,0.18,2.1,4.02,0.33,0.2,0.32,6.98,0.2,0.33,0.4,0.18,0.35,0.15,0.23,0.4,0.46,0.35,0.23,0.46,0.23,0.35,0.35,9.2,33.87,27.54,9.29,11.56,-0.11,2.06,0.31,0.42,0.31,0.27,0.31,0.2,0.3,0.3,3.58,45.95,199.88,141.55,9.8,0.7,2.1,151.8,40.9
9,EL YOUSSOUFIA,défavorable,Blé dur,Wheat,Bour,S1,01/12/2020,10/02/2021,No,No,,No,,No N topDress ,3.02,87%,0.2,0.002,0.389,0.326,0.196,0.212,0.261,0.289,0.352,0.383,0.36,0.398,0.105,0.149,0,2.668,0.162,0.184,829.264,831.981,0.143,2.398,,,,,,,331.85,331.61,,20.86,,,5.03,"2,277.92",275.31,744.4,-0.01,0.75,0.1,0.12,0.1,0.09,0.1,0.09,0.1,0.1,1.12,2.6,0.17,0.15,0.16,3.85,0.14,0.17,0.17,0.16,0.23,0.09,0.12,0.23,0.23,0.23,0.23,0.23,0.12,0.23,0.23,5.06,33.73,30.62,10.68,13.42,-0.01,1.27,0.16,0.2,0.16,0.14,0.16,0.15,0.17,0.16,1.87,30.16,170.22,142.64,10.2,0.2,4.8,282.9,141.1
10,EL YOUSSOUFIA,défavorable,Blé dur,Wheat,Bour,S1,20/12/2020,10/02/2021,No,No,,No,,No N topDress ,3.76,93%,0.17,0.002,0.317,0.272,0.144,0.151,0.215,0.23,0.248,0.268,0.249,0.276,0.069,0.06,0,1.422,0.088,0.083,834.518,836.579,0.055,2.711,,,,,,,,,,20.86,,,4.16,"2,343.47",280.49,691.38,-0.02,0.56,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.09,0.93,1.66,0.13,0.1,0.12,2.76,0.09,0.15,0.12,0.14,0.17,0.08,0.12,0.23,0.12,0.23,0.23,0.23,0.12,0.12,0.12,3.57,35.86,32.3,10.29,12.98,-0.04,0.98,0.15,0.17,0.15,0.14,0.15,0.12,0.14,0.14,1.62,33.49,190.99,155.91,10,0.3,3.3,169.1,40
12,Safi,défavorable,Orge,Barley,Bour,S1,11/11/2020,11/02/2021,Yes,Yes,27/01/2021,No,,After,2.66,88%,0.128,0.001,0.167,0.076,0.094,0.093,0.048,0.106,0.311,0.38,0.372,0.403,0.151,0.973,0.003,4.073,0.648,0.886,829.188,831.914,0.561,2.36,371.71,836.68,401.75,"3,972.34","1,765.56","3,280.63",328.07,328.11,694.6,15.65,330.12,0.94,2.59,"2,240.55",274.74,623.99,-0.47,1.69,0.49,0.51,0.4,0.33,0.57,0.11,0.2,0.38,4.07,5.14,0.68,0.3,0.62,12.36,0.62,0.68,0.81,0.5,0.72,0.1,1.5,1.5,1.78,1.5,0.98,1.73,0.23,0.35,1.15,24.73,28.23,26.05,10.44,13.28,-0.63,2.88,0.79,0.81,0.71,0.55,0.85,0.22,0.43,0.67,6.93,59.39,276.62,205.12,10.1,0.1,5.2,263.4,5.8
