id,Province,Agroecological.zones,Crop,Grp.Crop,Regime,Code_Stage,birth.day,sampling.date,Base.Feed,Second.feed.1,second.feed.1.date,second.feed..2,second.feed..2.date,Sampling.Timing.Vs.second.feed.timing,Mos.,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,B1,B2,B3,B4,B5,B6,B6_VCID_1,B6_VCID_2,B7,FVC,LST,NDVI,AI,ETP_jan_mars,ETP_oct_dec,ETP_oct_mars,EVI_Diff,EVI_RUE,EVI_fev,EVI_jan,EVI_jan_mars,EVI_mars,EVI_max,EVI_min,EVI_oct_dec,EVI_oct_mars,EVIsum,FAPAR_RUE,FAPAR_jan_mars,FAPAR_oct_dec,FAPAR_oct_mars,FAPARsum,Fpar_Diff,Fpar_fev,Fpar_jan,Fpar_mars,Fpar_max,Fpar_min,LAI_Diff,LAI_fev,LAI_jan,LAI_jan_mars,LAI_mars,LAI_max,LAI_min,LAI_oct_dec,LAI_oct_mars,LAIsum,LST_DAY_jan_mars,LST_DAY_oct_dec,LST_Night_jan_mars,LST_Night_oct_dec,NDVI_Diff,NDVI_RUE,NDVI_fev,NDVI_jan,NDVI_jan_mars,NDVI_mars,NDVI_max,NDVI_min,NDVI_oct_dec,NDVI_oct_mars,NDVIsum,P_dec_fev,P_oct_mars,P_sep_nov,pH,Ec,MO,K20,P2O5
5,EL YOUSSOUFIA,défavorable,Blé tendre,Wheat,Bour,S1,20/12/2020,10/02/2021,No,No,,No,,No N topDress ,96%,0.256,0.002,0.373,0.289,0.234,0.232,0.228,0.275,0.396,0.446,0.438,0.469,0.158,0.314,0.002,2.901,0.272,0.364,828.31,831.147,0.293,2.127,585.35,924.6,857.9,"3,348.80","2,419.60","3,306.25",330.65,330.95,"1,444.40",20.86,333.95,0.68,3.47,"2,274.13",297.39,670.45,-0.07,1.44,0.22,0.26,0.22,0.2,0.24,0.17,0.33,0.24,2.78,3.93,0.28,0.36,0.29,7.59,0.15,0.28,0.4,0.22,0.3,0.15,0.23,0.46,0.58,0.46,0.35,0.46,0.23,0.46,0.46,11.39,33.56,27.84,8.75,11.63,-0.09,2.25,0.34,0.41,0.34,0.3,0.37,0.27,0.51,0.37,4.35,48.25,221.88,160.23,10.5,0.3,1.2,103.5,38.1
11,Safi,défavorable,Orge,Barley,Bour,S1,13/11/2020,11/02/2021,No,No,,No,,No N topDress ,90%,0.144,0.001,0.192,0.094,0.113,0.108,0.078,0.13,0.34,0.423,0.407,0.458,0.127,0.901,0.002,4.604,0.609,0.781,831.382,833.835,0.536,3.114,504.97,811.09,613.53,"4,422.95","1,888.98","3,272.91",327.39,327.66,903.65,15.65,329.56,0.87,2.57,"2,137.16",239.32,588.23,-0.16,1.41,0.29,0.34,0.28,0.26,0.32,0.16,0.32,0.31,3.23,4.47,0.46,0.45,0.46,10.21,0.37,0.45,0.55,0.37,0.53,0.16,0.58,0.81,0.81,0.81,0.69,0.81,0.23,0.69,0.81,16.44,28.85,25.27,11.22,13.51,-0.24,2.22,0.48,0.52,0.46,0.4,0.49,0.25,0.51,0.46,5.07,53.43,262.96,197,9.9,0.2,1.9,472.7,5.8
16,Safi,défavorable,Orge,Barley,irrigué,S1,16/11/2020,11/02/2021,Yes,Yes,01/02/2021,No,,After,81%,0.151,0.001,0.185,0.09,0.107,0.1,0.058,0.113,0.359,0.47,0.461,0.52,0.096,1.308,0.002,5.166,0.704,0.891,833.232,835.453,0.634,3.069,442.03,867.55,629.32,"3,954.09","1,943.06","3,280.95",327.32,327.39,"1,153.35",15.65,330.6,0.83,3.04,"2,298.27",259.32,663.21,-0.1,1.43,0.29,0.32,0.29,0.24,0.31,0.2,0.31,0.31,3.11,5.02,0.54,0.53,0.54,10.95,0.36,0.54,0.58,0.39,0.59,0.23,0.81,1.04,0.86,0.81,0.69,1.15,0.35,0.81,0.81,17.83,30.58,26.83,10.42,12.43,-0.18,2.46,0.5,0.53,0.5,0.41,0.5,0.32,0.53,0.5,5.35,51.35,250.64,187,9.9,0.6,3.5,306.4,648.6
20,Safi,défavorable,Orge,Barley,Bour,S1,05/11/2020,11/02/2021,No,No,,No,,No N topDress ,97%,0.157,0.001,0.327,0.227,0.133,0.126,0.153,0.174,0.254,0.289,0.266,0.323,0.088,0.2,0,4.281,0.286,0.312,831.844,834.238,0.197,2.922,,,,,,,,,,15.65,,,2.66,"2,235.48",282.44,620.54,-0.16,1.35,0.29,0.38,0.3,0.26,0.3,0.14,0.26,0.3,3.16,3.76,0.39,0.37,0.37,8.77,0.26,0.39,0.53,0.31,0.41,0.15,0.46,0.58,0.81,0.58,0.52,0.69,0.23,0.46,0.58,13.23,31.38,26.35,11.33,11.7,-0.28,2.21,0.49,0.6,0.49,0.4,0.51,0.23,0.46,0.48,5.17,55.9,268.46,199.49,9.9,0.3,3.6,197.2,"1,587.00"
24,El Jadida,interemédiaire,Blé dur,Wheat,Bour,S1,28/11/2020,26/01/2021,Yes,Yes,28/11/2020,No,,After,93%,0.149,0.001,0.218,0.132,0.122,0.122,0.093,0.138,0.271,0.32,0.322,0.347,0.073,0.446,0.002,3.45,0.458,0.632,828.845,831.614,0.398,2.325,432.62,839.82,770.35,"3,378.96","2,315.77","3,274.05",327.46,327.44,"1,577.76",18.7,330.14,0.72,2.13,"2,084.26",244.61,600.19,-0.35,1.76,0.52,0.53,0.52,0.35,0.54,0.2,0.42,0.5,4.95,5.28,0.75,0.56,0.74,14.86,0.64,0.76,0.76,0.56,0.86,0.22,1.61,1.78,1.5,1.5,1.21,1.96,0.35,0.92,1.5,31.4,25.09,24.99,10.25,12.41,-0.45,2.83,0.81,0.81,0.81,0.58,0.82,0.37,0.75,0.81,7.95,106.34,323.46,214.48,9.8,0.2,3,163.1,77.6
31,El Jadida,interemédiaire,Blé tendre,Wheat,Bour,S1,03/12/2020,27/01/2021,Yes,Yes,03/12/2020,No,,After,95%,0.157,0.001,0.271,0.167,0.123,0.119,0.098,0.146,0.293,0.348,0.321,0.383,0.078,0.501,0.002,3.518,0.47,0.612,829.095,831.833,0.386,2.54,501.94,907.93,875.58,"3,435.95","2,713.53","3,306.46",330.64,330.58,"1,722.21",18.7,333.7,0.68,1.71,"2,052.29",250.36,520.14,-0.36,1.55,0.5,0.55,0.5,0.4,0.53,0.17,0.38,0.43,4.7,4.72,0.72,0.69,0.7,14.32,0.76,0.74,0.84,0.51,0.87,0.12,1.73,1.84,1.84,1.55,0.98,1.96,0.23,1.27,1.38,30.02,27.35,24.37,9.83,11.51,-0.53,2.43,0.77,0.81,0.75,0.61,0.83,0.29,0.69,0.7,7.38,105.81,348.84,237.39,9.4,0.3,2.3,116.3,44
32,El Jadida,interemédiaire,Blé dur,Wheat,Bour,S1,27/11/2020,27/01/2021,Yes,Yes,15/01/2021,No,,After,95%,0.205,0.002,0.301,0.202,0.158,0.16,0.143,0.211,0.376,0.43,0.404,0.463,0.106,0.512,0.003,2.752,0.393,0.55,826.024,829.146,0.402,2.579,411.58,832.81,693.73,"3,384.15","1,898.45","3,293.89",329.4,329.56,"1,031.77",18.7,332.44,0.76,1.85,"1,897.96",220.92,534.87,-0.17,1.24,0.35,0.37,0.33,0.28,0.36,0.19,0.35,0.33,3.58,3.96,0.55,0.53,0.55,11.43,0.45,0.55,0.59,0.39,0.63,0.18,0.81,1.09,0.92,0.98,0.69,1.15,0.35,0.81,0.92,19.9,29.91,26.32,8.77,10.73,-0.3,2.08,0.57,0.62,0.57,0.47,0.59,0.3,0.61,0.58,6.01,100.06,331.89,212.07,9.1,0.2,1.2,97.1,56.1
59,SIDI BENNOUR,interemédiaire,Blé dur,Wheat,Bour,S1,10/11/2020,01/02/2021,Yes,Yes,01/01/2021,No,,After,99%,0.153,0.001,0.187,0.076,0.107,0.101,0.05,0.108,0.414,0.577,0.542,0.608,0.108,2.022,0.003,6.132,0.788,0.954,835.912,837.798,0.727,3.054,418.03,780.85,476.1,"5,994.95","1,919.35","3,303.38",330.33,330.42,769.93,22.1,332.93,0.98,2.31,"1,921.77",240.35,538.32,-0.24,1.86,0.41,0.41,0.41,0.41,0.45,0.2,0.41,0.41,4.33,6.33,0.7,0.63,0.67,14.73,0.49,0.67,0.76,0.65,0.76,0.26,1.5,1.61,1.38,1.61,1.84,1.96,0.46,1.04,1.38,30.47,27.03,23.4,8.94,12.39,-0.36,3.08,0.68,0.7,0.65,0.63,0.72,0.36,0.67,0.66,7.17,69.45,267.69,183.56,9,0.3,0.7,127.7,50.5
87,Safi,défavorable,Blé tendre,Wheat,Bour,S1,04/11/2020,01/02/2021,Yes,Yes,15/01/2021,No,,After,91%,0.149,0.001,0.176,0.076,0.108,0.102,0.052,0.108,0.35,0.441,0.417,0.468,0.106,1.265,0.003,5.049,0.699,0.894,831.371,833.825,0.603,2.409,,,,,,,,,,15.65,,,2.55,"2,338.29",295.44,687.24,-0.22,1.17,0.29,0.46,0.32,0.27,0.33,0.1,0.16,0.31,3.14,4.01,0.61,0.13,0.54,10.78,0.7,0.63,0.83,0.49,0.77,0.07,1.61,1.38,1.9,1.21,0.98,1.73,0.12,0.23,0.81,21.62,29.77,26.53,9.96,12.91,-0.46,2.41,0.65,0.81,0.66,0.54,0.7,0.24,0.42,0.62,6.48,64.34,309.35,226.66,9.9,0.2,2.3,410.6,22.8
104,Settat,interemédiaire,Blé dur,Wheat,Bour,S1,25/11/2020,11/02/2021,Yes,Yes,15/01/2021,Yes,10/02/2021,After,94%,0.13,0.002,0.179,0.08,0.096,0.096,0.05,0.111,0.345,0.427,0.404,0.447,0.159,1.18,0.003,4.43,0.677,0.898,830.079,832.694,0.594,2.488,317.85,645.2,372.68,"4,070.37","1,647.46","3,312.58",331.25,331.44,677.94,24.23,333.99,0.95,2.34,"2,154.53",238.63,666.43,-0.34,1.15,0.45,0.42,0.39,0.31,0.46,0.12,0.15,0.32,3.28,3.71,0.67,0.15,0.49,10.55,0.75,0.75,0.62,0.55,0.83,0.08,1.84,1.73,1.04,1.38,1.09,1.96,0.12,0.23,0.81,20.47,29.2,27.24,7.1,9.35,-0.59,2.19,0.77,0.74,0.71,0.57,0.82,0.23,0.36,0.64,6.24,106.69,327.04,228.18,10,0.1,5.2,768.2,47.2
